date,product_id,category,daily_active_users,click_through_rate,avg_session_duration,conversion_rate,is_anomaly
2022-01-01,google_product_001,Search,815,0.15235905570948272,6.024309623286852,0.03372266093915494,0
2022-01-02,google_product_001,Search,758,0.09005397946403676,2.6368259954071895,0.037119611260779235,0
2022-01-03,google_product_001,Search,1162,0.17748983024107443,4.189706167610396,0.054185313451480366,0
2022-01-04,google_product_001,Search,1584,0.16039465427693977,3.338017822203391,0.015121913434649206,0
2022-01-05,google_product_001,Search,1303,0.17994030329578956,4.425887206193035,0.05276965386088188,0
2022-01-06,google_product_001,Search,1153,0.06311233865418932,4.0191477774157525,0.043380234811017084,0
2022-01-07,google_product_001,Search,1267,0.21265124114342182,3.3585130909556904,0.027929783521427845,0
2022-01-08,google_product_001,Search,955,0.1458123111553448,4.487872284871074,0.02924687606950762,0
2022-01-09,google_product_001,Search,777,0.1832454845021255,5.804348109786743,0.05676393027208203,0
2022-01-10,google_product_001,Search,1227,0.11880282218623407,3.809096208272701,0.030544931200572688,0
2022-01-11,google_product_001,Search,1272,0.1683832171518771,4.719757942148182,0.028466494894040406,0
2022-01-12,google_product_001,Search,1342,0.11839753310479031,2.7067270421288363,0.05137314542364729,0
2022-01-13,google_product_001,Search,1333,0.13128693117912585,3.043563623181991,0.043385528762859144,0
2022-01-14,google_product_001,Search,654,0.20742094061600358,4.472406277880378,0.03062074423463601,0
2022-01-15,google_product_001,Search,541,0.1442795279770996,5.484116028535965,0.04216624975404619,0
2022-01-16,google_product_001,Search,843,0.15652298619539168,4.35561334878566,0.029742473163597228,0
2022-01-17,google_product_001,Search,1000,0.17610203192066262,3.6869419694768455,0.05100821398422605,0
2022-01-18,google_product_001,Search,1511,0.16487045663917813,3.999291405423354,0.05061370964873134,0
2022-01-19,google_product_001,Search,1337,0.15451256715430728,2.7495922660302825,0.04532006198821943,0
2022-01-20,google_product_001,Search,1085,0.16094883007398675,4.604515326355367,0.043616610612470165,0
2022-01-21,google_product_001,Search,1412,0.22210246755714824,4.88233306232341,0.05761188124867374,0
2022-01-22,google_product_001,Search,923,0.14827143608899243,3.5479096671669197,0.03999686327388225,0
2022-01-23,google_product_001,Search,3052,0.156032971401449,3.5299578522404986,0.02818125874579199,1
2022-01-24,google_product_001,Search,999,0.18151963188022835,4.265878229652048,0.044494739128323066,0
2022-01-25,google_product_001,Search,1421,0.1831657779887395,3.5632802639594043,0.06086047049537114,0
2022-01-26,google_product_001,Search,1622,0.1856109091668114,3.9338673853741777,0.029852405068141477,0
2022-01-27,google_product_001,Search,1219,0.16916190666087552,6.099721789166516,0.03638537233306014,0
2022-01-28,google_product_001,Search,1275,0.11570985261808549,3.7529742992540034,0.04416446038101453,0
2022-01-29,google_product_001,Search,929,0.19900294596903287,3.6416598479787776,0.03946095150994261,0
2022-01-30,google_product_001,Search,1059,0.11560963820943936,3.352458194364841,0.030176964196226855,0
2022-01-31,google_product_001,Search,1243,0.159079063957171,4.744191971499937,0.05121857856230471,0
2022-02-01,google_product_001,Search,1979,0.12737172449941925,3.818775826781897,0.06320040722017259,0
2022-02-02,google_product_001,Search,1675,0.1480758496022102,3.350626961678574,0.04196131459023907,0
2022-02-03,google_product_001,Search,1315,0.1598628723091044,5.321304032273012,0.030959317102639997,0
2022-02-04,google_product_001,Search,1441,0.1596407164635082,5.419603004513637,0.02451039474946525,0
2022-02-05,google_product_001,Search,881,0.16265762262705855,3.399576434261295,0.042579759812211807,0
2022-02-06,google_product_001,Search,1236,0.1984113380717594,2.1334600486393835,0.05103877343316258,0
2022-02-07,google_product_001,Search,1047,0.16360602904541938,5.007513689836922,0.044751677464953815,0
2022-02-08,google_product_001,Search,1418,0.14267530094128053,3.315370174239996,0.03997596159081146,0
2022-02-09,google_product_001,Search,1792,0.1789226150486507,4.790625599162769,0.03410728348210694,0
2022-02-10,google_product_001,Search,1748,0.1856841146677392,2.0298961822881645,0.029078363672819102,0
2022-02-11,google_product_001,Search,1384,0.11317176554589023,4.892597338299309,0.04834751326324882,0
2022-02-12,google_product_001,Search,1175,0.16792200209549574,2.7888280707192186,0.04913771621385586,0
2022-02-13,google_product_001,Search,1205,0.17103518226932696,4.730764119066524,0.02454270213309267,0
2022-02-14,google_product_001,Search,1214,0.14107309489920022,4.0142730678364344,0.05589838978180684,0
2022-02-15,google_product_001,Search,1610,0.19127120439934858,3.0460605806033554,0.045740712208940014,0
2022-02-16,google_product_001,Search,1730,0.14549833238902418,3.5929636870732193,0.05399594645145794,0
2022-02-17,google_product_001,Search,1880,0.15376729360414626,4.686318456956701,0.02657872251514885,0
2022-02-18,google_product_001,Search,1487,0.1448078452714839,4.105894453115234,0.02634175844584561,0
2022-02-19,google_product_001,Search,913,0.150467371427444,4.584412980472484,0.038510306902327034,0
2022-02-20,google_product_001,Search,1397,0.11711174739314395,5.976440584515485,0.04502784426895194,0
2022-02-21,google_product_001,Search,1499,0.10679847352217117,2.4357583882889484,0.05796360822926964,0
2022-02-22,google_product_001,Search,1684,0.19783515189674916,5.617212574968624,0.047060789138151315,0
2022-02-23,google_product_001,Search,2009,0.12459115955045016,4.104355937523213,0.03757318723187967,0
2022-02-24,google_product_001,Search,1939,0.12025822951631078,3.101215951676872,0.02973630792334108,0
2022-02-25,google_product_001,Search,1667,0.08539829659188855,2.66968637426101,0.0523000057271915,0
2022-02-26,google_product_001,Search,1159,0.13083114756931494,3.8108796092229666,0.03035294574249285,0
