date,product_id,category,daily_active_users,click_through_rate,avg_session_duration,conversion_rate,is_anomaly,zscore,zscore_anomaly,yhat,yhat_lower,yhat_upper,prophet_anomaly
2022-01-01,google_product_001,Search,815,0.1523590557094827,6.024309623286852,0.0337226609391549,0,-1.8430812588188643,1,701.3828285172248,298.7217234520482,1084.1101364907377,0
2022-01-02,google_product_001,Search,758,0.0900539794640367,2.636825995407189,0.0371196112607792,0,-1.890795527768149,1,794.7265407106878,404.90921522146164,1170.320820280232,0
2022-01-03,google_product_001,Search,1162,0.1774898302410744,4.189706167610396,0.0541853134514803,0,-1.5526101829346224,1,1001.267984054261,602.6956961444499,1407.9961501473235,0
2022-01-04,google_product_001,Search,1584,0.1603946542769397,3.338017822203391,0.0151219134346492,0,-1.1993571742223743,0,1291.8783042296805,882.4127004036341,1708.5527128720062,0
2022-01-05,google_product_001,Search,1303,0.1799403032957895,4.425887206193035,0.0527696538608818,0,-1.4345801492179708,0,1316.6639885515388,918.4714740269264,1713.3574081582217,0
2022-01-06,google_product_001,Search,1153,0.0631123386541893,4.0191477774157525,0.043380234811017,0,-1.5601440148739831,1,1208.8498152021807,817.4462442392453,1618.716039283988,0
2022-01-07,google_product_001,Search,1267,0.2126512411434218,3.3585130909556904,0.0279297835214278,0,-1.4647154769754138,0,979.0805097594243,609.6491453373019,1367.515022119071,0
2022-01-08,google_product_001,Search,955,0.1458123111553448,4.487872284871074,0.0292468760695076,0,-1.7258883175399193,1,778.510512134037,391.6091823281922,1186.890135697195,0
2022-01-09,google_product_001,Search,777,0.1832454845021255,5.804348109786743,0.056763930272082,0,-1.8748907714517207,1,872.4644877184296,480.0885254472079,1288.2255303987315,0
2022-01-10,google_product_001,Search,1227,0.118802822186234,3.809096208272701,0.0305449312005726,0,-1.4981991744836838,0,1079.4245878928737,702.5920801522607,1474.731195336008,0
2022-01-11,google_product_001,Search,1272,0.1683832171518771,4.719757942148182,0.0284664948940404,0,-1.46053001478688,0,1370.271815796309,967.7824583082635,1753.2507067711288,0
2022-01-12,google_product_001,Search,1342,0.1183975331047903,2.7067270421288363,0.0513731454236472,0,-1.4019335441474077,0,1395.1306347339032,1021.5920843451753,1803.051701393076,0
2022-01-13,google_product_001,Search,1333,0.1312869311791258,3.043563623181991,0.0433855287628591,0,-1.4094673760867684,0,1287.251117481287,886.1852766037734,1684.682819076026,0
2022-01-14,google_product_001,Search,654,0.2074209406160035,4.472406277880378,0.030620744234636,0,-1.9778531412896507,1,1057.3095502041922,660.4799984952917,1481.4519266387747,1
